썸네일 주소,url,가게 이름,평점,가게 종류,조회수,리뷰 수
"https://mp-seoul-image-production-s3.mangoplate.com/281547/753280_1550146766591_11966?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/iMRRP69qtkeO,미라이,4.8,가로수길 - 이자카야 / 오뎅 / 꼬치,"540,716",133
"https://mp-seoul-image-production-s3.mangoplate.com/401711/2187128_1648634639721_73152?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/R1Nzfed1UHqa,세이류,4.8,신천/잠실 - 정통 일식 / 일반 일식,"177,952",42
"https://mp-seoul-image-production-s3.mangoplate.com/513273_1598598343472200.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/9EVyzauilukl,시라카와,4.8,신사/압구정 - 이자카야 / 오뎅 / 꼬치,"343,178",75
"https://mp-seoul-image-production-s3.mangoplate.com/879773_1683706446598162.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/SapvvirrPYwo,이안정,4.8,마포/공덕 - 회 / 스시,"21,417",21
"https://mp-seoul-image-production-s3.mangoplate.com/459822/1100616_1632907332357_27052?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/pI112Z4JVmBn,페리지,4.8,삼성동 - 기타 양식,"68,398",43
"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/528686_1478617166485007.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/vAGwdLA9j1IM,명랑회관                                    (선릉점),4.8,대치동 - 고기 요리,"74,625",59
"https://mp-seoul-image-production-s3.mangoplate.com/500149/1242461_1691478516443_1000011893?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/tVGs0x42pLKv,판코네,4.8,용산/숙대 - 이탈리안,"16,621",39
"https://mp-seoul-image-production-s3.mangoplate.com/sources/web/restaurants/479607/894765_1670830877419?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/2L8yQMWy1Eye,상진식감,4.8,가로수길 - 까스 요리,"43,123",53
"https://mp-seoul-image-production-s3.mangoplate.com/473437/26737_1648735283542_48135?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/DOqnqbIeugJI,오제제,4.8,광화문 - 까스 요리,"100,661",79
"https://mp-seoul-image-production-s3.mangoplate.com/280481/651548_1488006727915_2029?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/-tjn7yYAEu7u,치즈플로,4.8,이태원/한남동 - 퓨전 양식,"132,923",60
"https://mp-seoul-image-production-s3.mangoplate.com/569459_1690937539819595.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/OmXclxi0WZoS,볼레티,4.8,방배/반포/잠원 - 이탈리안,"4,901",20
"https://mp-seoul-image-production-s3.mangoplate.com/1914409_1689640098501662.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/_7MTHsDE7UXc,크리스피포크타운,4.8,이태원/한남동 - 남미 음식,"51,208",51
"https://mp-seoul-image-production-s3.mangoplate.com/569459_1691329236700277.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/l0k43OGTH50J,데시데,4.8,삼청/인사 - 카페 / 디저트,"8,006",24
"https://mp-seoul-image-production-s3.mangoplate.com/438965/748131_1610409563005_6655?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/V1pDpcDIntci,멘타카무쇼,4.8,홍대 - 라멘 / 소바 / 우동,"63,194",40
"https://mp-seoul-image-production-s3.mangoplate.com/217140/113339_1455123126639_1862?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/4hAcTcdILi,맛짱조개,4.8,논현동 - 해산물 요리,"142,556",66
"https://mp-seoul-image-production-s3.mangoplate.com/360523/449685_1600723642809_14753?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/lTMiXudtCvb4,BAR CHAM,4.8,종로 - 칵테일 / 와인,"119,834",42
"https://mp-seoul-image-production-s3.mangoplate.com/787041_1615533569508222.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/cOPpYpvBoWrH,우육면관                                    (광화문점),4.8,종로 - 기타 중식,"57,727",48
"https://mp-seoul-image-production-s3.mangoplate.com/422925/569295_1651228271606_22046?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/e5avGLO5hjJM,마리오네,4.8,왕십리/성동 - 이탈리안,"50,734",28
"https://mp-seoul-image-production-s3.mangoplate.com/1861537_1609661398822165.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/A2wHyagv8QkV,작은피자집,4.8,동작/사당 - 기타 양식,"188,189",68
"https://mp-seoul-image-production-s3.mangoplate.com/444358/116586_1622771617201_62100?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",/restaurants/dzvLL3cnX1UC,모던샤브하우스                                    (광화문D타워점),4.8,광화문 - 탕 / 찌개 / 전골,"86,618",35
